AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-5100,Printing Workers,minor,"204,640",1.0,,,,,22.24,"46,260",0.3,15.12,17.76,21.55,25.24,30.06,"31,450","36,950","44,830","52,510","62,530",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-5110,Printing Workers,broad,"204,640",1.0,,,,,22.24,"46,260",0.3,15.12,17.76,21.55,25.24,30.06,"31,450","36,950","44,830","52,510","62,530",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-5111,Prepress Technicians and Workers,detailed,"23,070",2.6,,,,,23.62,"49,130",0.7,16.48,18.75,22.74,27.66,31.50,"34,270","39,000","47,300","57,530","65,530",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-5112,Printing Press Operators,detailed,"145,110",1.3,,,,,22.41,"46,620",0.4,15.12,17.77,21.71,26.13,30.32,"31,450","36,970","45,160","54,340","63,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-5113,Print Binding and Finishing Workers,detailed,"36,470",2.5,,,,,20.69,"43,040",0.5,14.96,17.34,19.14,23.19,27.87,"31,110","36,070","39,820","48,240","57,980",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6000,"Textile, Apparel, and Furnishings Workers",minor,"464,330",1.1,,,,,17.78,"36,970",0.2,13.06,14.75,17.11,19.36,23.00,"27,160","30,680","35,580","40,270","47,840",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6010,Laundry and Dry-Cleaning Workers,broad,"195,360",1.9,,,,,16.34,"33,990",0.4,12.63,14.20,16.25,17.67,20.37,"26,270","29,530","33,800","36,760","42,370",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6011,Laundry and Dry-Cleaning Workers,detailed,"195,360",1.9,,,,,16.34,"33,990",0.4,12.63,14.20,16.25,17.67,20.37,"26,270","29,530","33,800","36,760","42,370",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6020,"Pressers, Textile, Garment, and Related Materials",broad,"26,830",3.6,,,,,16.04,"33,370",0.7,12.00,13.97,16.29,17.71,19.91,"24,960","29,060","33,880","36,830","41,410",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6021,"Pressers, Textile, Garment, and Related Materials",detailed,"26,830",3.6,,,,,16.04,"33,370",0.7,12.00,13.97,16.29,17.71,19.91,"24,960","29,060","33,880","36,830","41,410",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6030,Sewing Machine Operators,broad,"109,590",1.9,,,,,17.64,"36,680",0.4,12.91,15.00,17.31,19.62,22.62,"26,860","31,200","36,000","40,810","47,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6031,Sewing Machine Operators,detailed,"109,590",1.9,,,,,17.64,"36,680",0.4,12.91,15.00,17.31,19.62,22.62,"26,860","31,200","36,000","40,810","47,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6040,Shoe and Leather Workers,broad,"10,910",3.9,,,,,17.58,"36,560",1.0,12.00,14.27,17.53,20.64,23.01,"24,960","29,690","36,460","42,930","47,860",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6041,Shoe and Leather Workers and Repairers,detailed,"7,640",5.9,,,,,17.44,"36,280",1.2,12.10,14.13,17.29,19.91,23.12,"25,170","29,400","35,950","41,400","48,090",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6042,Shoe Machine Operators and Tenders,detailed,"3,270",8.7,,,,,17.90,"37,230",2.0,11.61,14.64,18.35,20.86,23.01,"24,160","30,450","38,160","43,390","47,860",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6050,"Tailors, Dressmakers, and Sewers",broad,"18,540",5.3,,,,,20.64,"42,930",1.5,12.90,15.67,19.03,23.44,29.26,"26,830","32,590","39,590","48,760","60,850",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6051,"Sewers, Hand",detailed,"2,240",11.8,,,,,16.74,"34,810",1.9,12.28,14.04,16.23,18.36,22.27,"25,530","29,210","33,760","38,180","46,320",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6052,"Tailors, Dressmakers, and Custom Sewers",detailed,"16,290",5.7,,,,,21.18,"44,050",1.7,13.04,16.10,19.64,23.94,30.04,"27,110","33,480","40,860","49,780","62,490",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6060,"Textile Machine Setters, Operators, and Tenders",broad,"49,910",1.5,,,,,18.66,"38,820",0.4,14.24,16.55,18.17,20.38,23.06,"29,630","34,430","37,800","42,400","47,970",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,detailed,"5,820",8.3,,,,,18.75,"39,000",1.7,13.94,15.55,17.94,20.79,22.92,"28,990","32,350","37,320","43,230","47,660",,
