Occupation,Total employed,Women,White,Black or African American,Asian,Hispanic or Latino
Human resources workers,944,75.5,76.6,14.3,4.9,15.2
"Compensation, benefits, and job analysis specialists",46,–,–,–,–,–
Training and development specialists,155,57.1,79.2,14.1,1.8,13.7
Logisticians,193,36.1,66.4,22.0,6.5,14.1
Project management specialists,966,47.2,78.7,9.6,9.4,8.2
Management analysts,"1,099",40.9,77.2,8.4,10.9,8.8
"Meeting, convention, and event planners",145,75.3,84.0,8.0,5.5,11.6
Fundraisers,76,66.9,87.3,8.9,3.2,7.1
Market research analysts and marketing specialists,632,65.9,76.8,7.8,10.7,10.0
"Business operations specialists, all other",717,61.2,76.7,11.7,6.5,13.6
Accountants and auditors,"1,778",57.2,75.6,9.8,11.8,11.1
Property appraisers and assessors,80,40.1,94.1,0.0,3.0,7.4
Budget analysts,49,–,–,–,–,–
Credit analysts,40,–,–,–,–,–
Financial and investment analysts,406,42.7,70.7,11.4,14.9,7.8
Personal financial advisors,528,33.8,84.3,5.8,7.6,7.2
Insurance underwriters,124,61.9,78.1,14.6,5.4,8.8
Financial examiners,23,–,–,–,–,–
Credit counselors and loan officers,313,52.8,83.5,10.3,2.3,10.7
"Tax examiners and collectors, and revenue agents",45,–,–,–,–,–
Tax preparers,113,60.4,80.5,8.0,6.0,23.8
Other financial specialists,132,53.1,67.7,16.0,12.5,8.6
Professional and related occupations,"40,142",57.4,74.3,11.3,10.9,11.1
Computer and mathematical occupations,"6,386",26.4,64.2,9.6,23.3,8.3
Computer and information research scientists,36,–,–,–,–,–
Computer systems analysts,547,43.1,69.3,10.1,18.9,10.4
Information security analysts,243,18.9,74.5,18.1,5.9,10.3
Computer programmers,334,17.8,70.4,8.9,17.1,10.8
Software developers,"2,077",20.3,54.2,6.2,36.8,5.7
Software quality assurance analysts and testers,82,45.7,56.3,14.3,16.7,10.3
Web developers,54,30.8,82.1,2.8,8.9,9.5
Web and digital interface designers,96,47.5,81.6,5.8,12.6,6.4
Computer support specialists,633,26.9,67.4,13.7,15.1,8.5
Database administrators and architects,148,28.9,65.9,6.8,26.8,3.4
Network and computer systems administrators,154,17.1,77.8,8.2,9.8,15.3
Computer network architects,139,7.1,64.6,14.3,19.5,8.5
"Computer occupations, all other","1,188",24.4,66.9,12.5,18.4,10.1
Actuaries,36,–,–,–,–,–
Mathematicians,5,–,–,–,–,–
Operations research analysts,176,48.6,69.6,10.7,14.9,10.2
Statisticians,70,41.1,73.9,10.9,13.3,4.5
Other mathematical science occupations,369,40.9,68.1,9.7,19.8,9.7
Architecture and engineering occupations,"3,552",17.2,76.8,7.3,13.1,10.5
"Architects, except landscape and naval",209,27.4,79.2,6.0,9.6,10.4
Landscape architects,18,–,–,–,–,–
"Surveyors, cartographers, and photogrammetrists",48,–,–,–,–,–
Aerospace engineers,182,10.5,78.1,9.4,9.5,5.2
